New URI	persName syriaca-headword.en-x-gedsh	persName syriaca-headword.syr	persName anonymous-description.en	trait.en	persName.Source 1.en	Source 1	citedRange pp.Source 1	persName.Source 2.syr	Source 2	citedRange pp.Source 2	person ana	note abstract.en	sex.Source 1.en	state office.Source 1.en	state occupation.Source 1.en	state saint.Source 1.en	relation possibly-identical	idno URI	birth.Source 1.en	birth when.Source 1	birth notBefore.Source 1	birth notAfter.Source 1	death.Source 1.en	death when.Source 1	death notBefore.Source 1	death notAfter.Source 1	floruit.Source 1.en	floruit when.Source 1	floruit notBefore.Source 1	floruit notAfter.Source 1
3281																														
3282																														
3283																														
3284																														
3285																														
3286																														
3287																														
3288																														
3289																														
3290																														
3291																														
3292																														
3293																														
3294																														
3295																														
3296																														
3297																														
3298																														
3299																														
3300																														
3301																														
3302																														
3303																														
3304																														
3305																														
3306																														
3307																														
3308																														
3309																														
3310																														
3311																														
3312																														
3313																														
3314																														
3315																														
3316																														
3317																														
3318																														
3319																														
3320																														
3321																														
3322																														
3323																														
3324																														
3325																														
3326																														
3327																														
3328																														
3329																														
3330																														
3331																														
3332																														
3333																														
3334																														
3335																														
3336																														
3337																														
3338																														
3339																														
3340																														
3341																														
3342																														
3343																														
3344																														
3345																														
3346																														
3347																														
3348																														
3349																														
3350																														
3351																														
3352																														
3353																														
3354																														
3355																														
3356																														
3357																														
3358																														
3359																														
3360																														
3361																														
3362																														
3363																														
3364																														
3365																														
3366																														
3367																														
3368																														
3369																														
3370																														
3371																														
3372																														
3373																														
3374																														
3375																														
3376																														
3377																														
3378																														
3379																														
3380																														
3381																														
3382																														
3383																														
3384																														
3385																														
3386																														
3387																														
3388																														
3389																														
3390																														
3391																														
3392																														
3393																														
3394																														
3395																														
3396																														
3397																														
3398																														
3399																														
3400																														
3401																														
3402																														
3403																														
3404																														
3405																														
3406																														
3407																														
3408																														
3409																														
3410																														
3411																														
3412																														
3413																														
3414																														
3415																														
3416																														
3417																														
3418																														
3419																														
3420																														
3421																														
3422																														
3423																														
3424																														
3425																														
3426																														
3427																														
3428																														
3429																														
3430																														
3431																														
3432																														
3433																														
3434																														
3435																														
3436																														
3437																														
3438																														
3439																														
3440																														
3441																														
3442																														
3443																														
3444																														
3445																														
3446																														
3447																														
3448																														
3449																														
3450																														
3451																														
3452																														
3453																														
3454																														
3455																														
3456																														
3457																														
3458																														
3459																														
3460																														
3461																														
3462																														
3463																														
3464																														
3465																														
3466																														
3467																														
3468																														
3469																														
3470																														
3471																														
3472																														
3473																														
3474																														
3475																														
3476																														
3477																														
3478																														
3479																														
3480																														
3481																														
3482																														
3483																														
3484																														
3485																														
3486																														
3487																														
3488																														
3489																														
3490																														
3491																														
3492																														
3493																														
3494																														
3495																														
3496																														
3497																														
3498																														
3499																														
3500																														
